               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.045149,            0.063928,            0.025661,             0.73449,             0.64321,             0.72886,             0.47912,            0.039657,            0.039925,           0.0087016,              0.0721,              0.0031,              0.0031
                   1,            0.046227,            0.067392,            0.023622,             0.77084,              0.6192,             0.72566,             0.45906,            0.041562,              0.0408,           0.0081726,            0.042676,           0.0056763,           0.0056763
                   2,            0.047845,            0.070192,            0.023035,             0.72394,             0.62878,             0.70407,              0.4397,            0.044503,             0.04127,           0.0076125,            0.012619,            0.007619,            0.007619
                   3,             0.05066,            0.062746,            0.020433,             0.67109,             0.65678,             0.70467,             0.42192,            0.045627,            0.041243,           0.0076885,             0.00703,             0.00703,             0.00703
                   4,            0.046847,            0.066725,             0.02006,             0.70548,             0.67109,             0.74184,             0.46964,            0.041538,            0.041278,           0.0076121,             0.00703,             0.00703,             0.00703
                   5,            0.046899,            0.069697,             0.01767,             0.69807,             0.70872,             0.76175,             0.47642,             0.04244,            0.039988,           0.0070294,             0.00604,             0.00604,             0.00604
                   6,            0.047436,            0.062818,            0.019295,             0.66533,             0.72697,             0.75094,             0.46438,             0.04267,            0.039948,            0.007364,             0.00505,             0.00505,             0.00505
                   7,            0.044261,             0.05969,            0.017519,             0.70497,             0.72728,             0.76631,             0.48743,            0.040683,            0.038559,           0.0066261,             0.00406,             0.00406,             0.00406
                   8,            0.044678,             0.06123,            0.017945,             0.73013,             0.73816,             0.78477,              0.5064,            0.039942,            0.037879,           0.0062284,             0.00307,             0.00307,             0.00307
                   9,            0.042995,            0.060864,            0.017874,             0.69879,             0.75734,              0.7949,             0.51652,            0.039312,            0.037758,           0.0060389,             0.00208,             0.00208,             0.00208
                   0,            0.045149,            0.063928,            0.025661,             0.73449,             0.64321,             0.72886,             0.47912,            0.039657,            0.039925,           0.0087016,              0.0721,              0.0031,              0.0031
                   1,            0.046086,            0.067454,            0.023751,             0.76606,             0.62048,             0.72607,             0.46698,            0.040757,             0.04078,           0.0082091,            0.042053,           0.0050526,           0.0050526
                   2,            0.046549,            0.070622,            0.023249,             0.75607,             0.63178,             0.72553,              0.4693,            0.041696,            0.040873,           0.0076621,            0.010738,            0.005738,            0.005738
                   3,            0.048602,             0.06324,            0.020618,             0.76425,             0.64122,             0.73593,             0.47039,            0.041656,            0.040816,           0.0073461,             0.00406,             0.00406,             0.00406
                   4,             0.04541,            0.067067,            0.020663,             0.73667,             0.66871,             0.75645,             0.50281,            0.039736,            0.040433,            0.006976,             0.00406,             0.00406,             0.00406
